q1,q2,q3,q4,q5,q6,q7,q41,q66,q77,q85,q86
4,1,2,2,E,1.63,52.16,2,3,6,3,3
4,2,2,2,B  E,1.8,121.56,1,4,6,2,4
5,1,3,1,,1.65,65.77,1,3,8,2,2
4,2,2,1,E,1.57,47.63,1,3,3,3,4
5,2,3,1,,1.78,74.84,,4,3,3,5
6,2,4,1,,1.68,63.5,1,3,6,1,2
3,2,,1,E,1.78,100.7,7,5,1,1,1
3,2,1,2,B D,,,1,3,7,2,4
3,2,1,1,C,,,1,4,6,2,5
3,2,1,1,,1.75,98.43,1,4,6,1,
3,1,1,1,,1.52,54.43,1,4,3,5,1
2,1,1,2,B,,,1,1,3,2,5
3,1,1,1,,1.5,36.29,1,3,1,4,4
3,2,1,1,E,1.65,49.44,1,2,6,1,3
3,2,1,1,E,1.78,63.5,1,3,8,,3
4,2,1,1,,1.73,78.47,6,3,5,1,1
3,2,1,1,,1.68,74.84,1,4,1,2,4
3,2,1,1,,,,1,3,8,2,6
3,1,1,1,E,1.52,72.58,1,5,6,3,4
3,1,1,1,,1.55,53.98,1,3,7,3,7
3,1,1,2,B,1.52,41.28,1,3,8,1,3
3,1,1,2,B,1.52,63.5,,4,4,3,2
3,1,1,1,E,1.57,74.84,1,5,8,4,4
3,1,1,1,,1.6,63.5,1,3,2,2,5
3,2,1,2,B,1.73,54.43,1,2,3,1,4
3,2,1,1,,1.68,92.99,2,5,8,2,4
3,1,1,2,B,1.42,48.99,1,4,3,4,3
4,1,2,1,E,,,1,4,3,3,4
4,2,2,1,D,1.65,70.31,1,3,7,1,4
4,1,2,2,E,1.6,79.38,3,4,4,5,3
4,1,2,1,,1.6,47.63,2,1,1,4,3
4,,2,1,,,,2,3,4,5,3
4,2,2,1,,1.65,45.36,1,1,5,3,2
4,1,2,2,B,1.5,41.28,1,2,1,5,1
4,2,2,1,E,,,1,4,8,1,4
4,1,2,1,A,1.68,65.77,1,3,6,1,5
4,1,2,1,E,1.63,61.24,1,3,8,3,5
4,2,2,2,B D,,,1,3,6,2,4
4,1,2,2,B,,,1,,1,3,1
4,2,2,2,D,1.8,72.58,1,3,6,2,4
4,2,2,1,B DE,1.7,49.9,2,2,2,5,4
4,1,2,1,,,,1,4,5,1,5
5,2,4,1,,1.6,57.15,3,2,8,1,4
4,1,2,1,E,1.6,51.71,2,3,8,3,1
4,1,2,1,,,,1,4,8,4,4
4,2,2,1,E,1.7,70.31,1,4,6,2,1
5,1,2,1,,1.57,56.7,1,3,6,2,5
5,1,3,1,,,,1,3,6,1,2
5,1,3,1,,1.63,58.06,1,4,4,3,2
5,1,3,1,,1.68,58.97,1,3,1,1,5
5,2,3,,,1.78,63.5,,3,1,2,4
5,2,3,1,E,1.73,93.44,1,5,7,1,2
5,2,3,1,,1.75,68.04,1,3,3,2,3
4,2,2,1,E,1.7,63.5,1,3,6,5,3
4,2,2,2,B,1.73,79.38,1,4,6,3,5
4,1,2,1,E,1.63,50.8,1,3,8,1,3
4,2,2,1,E,1.65,48.99,1,3,6,4,4
3,1,2,1,E,1.55,65.77,1,4,8,4,4
4,2,2,1,,1.65,90.72,1,4,4,1,4
5,1,2,2,B,1.65,63.05,1,4,7,2,4
4,1,2,1,,1.57,49.9,2,3,4,3,5
5,2,3,1,,,,,3,8,5,1
5,2,3,1,,1.7,74.84,1,4,6,2,2
4,2,3,2,C,,,,1,8,1,1
5,1,3,1,E,,,1,3,6,3,1
5,2,3,1,E,,,2,5,5,4,1
5,2,3,2,B,1.7,77.11,1,4,6,2,4
5,1,3,,E,1.52,52.62,2,3,1,3,3
4,2,3,1,,,,1,3,5,3,4
4,1,3,1,E,1.6,44.45,1,3,4,4,4
5,1,3,1,,,,1,3,1,3,4
5,1,4,1,,1.55,54.43,1,3,4,1,4
6,1,4,1,,1.65,73.03,1,4,4,3,1
6,2,4,1,E,1.73,72.58,1,3,8,2,4
